"derece","durum","mac_var_mi","kazandı mı","borsa_thy","borsa _asels","borsa_froto","trafik_bilgisi","duygu"
"3.1","Az_Bulutlu","1","0","-0.08","0.13","-2.97","21","üzgün"
"3","Sisli","0","0","-1.35","0","-2.04","24","sinirli "
"3.2","Sisli","0","0","1.53","-0.13","1.4","23","mutlu"
"3.6","Az_Bulutlu","1","1","-3.33","-3.83","0.52","21","üzgün"
"4","Az_Bulutlu","0","0","-1.25","0.51","-2.15","21","üzgün"
"3.1","Az_Bulutlu","1","0","0.55","-0.51","3.56","21","keyifli"
"4.2","Az_Bulutlu","0","0","-1.86","0.76","0.75","20","keyifsiz"
"3.7","Az_Bulutlu","0","0","1.1","3.53","1.11","20","mutlu"
"3.4","Az_Bulutlu","1","0","-0.39","1.6","1.42","20","mutlu"
"2.9","Az_Bulutlu","0","0","1.75","2.73","-0.47","20","mutlu"
"2.9","Az_Bulutlu","1","1","1.95","1.25","-0.41","20","mutlu"
"3","Az_Bulutlu","0","0","-3.3","0.7","-1.11","21","keyifsiz"
"3.1","Az_Bulutlu","1","1","-2.68","0","-2.11","20","üzgün"
"3.2","Az_Bulutlu","1","0","0","-0.14","3.97","21","keyifli"
"2.8","Az_Bulutlu","1","1","-0.15","1.85","-2.26","20","keyifsiz"
"1.9","Kar_Yağışlı","0","0","-2.43","-2.47","0.87","20","üzgün"
"1.7","Az_Bulutlu","0","0","-0.66","0.28","-0.4","20","üzgün"
"1.6","Kar_Yağışlı","1","0","-1.37","-0.82","2.06","24","keyifli"
"1.5","Kar_Yağışlı","0","0","-0.22","0.41","-2.24","24","keyifsiz"
"1.5","Kar_Yağışlı","1","0","-1.7","-1.48","-0.11","24","sinirli "
"1.3","Az_Bulutlu","1","0","2.77","2.07","0.69","20","mutlu"
"1","Kar_Yağışlı","0","0","-0.15","-2.03","2.46","24","keyifsiz"
"0.5","Az_Bulutlu","1","1","-3.39","0.82","-0.48","21","üzgün"
"-0.5","Az_Bulutlu","1","0","0.34","0.4","-0.52","21","keyifli"
"-0.7","Az_Bulutlu","0","0","-1.36","-1.19","0.58","21","üzgün"
"-5.2","Az_Bulutlu","1","1","-1.17","-1.17","-2.01","21","sinirli "
"-4.7","Az_Bulutlu","1","0","-0.89","2.65","2.48","21","mutlu"
"-4.5","Az_Bulutlu","1","0","0.55","-0.79","0.17","21","keyifli"
"-4.4","Az_Bulutlu","1","1","1.4","-0.26","-1.23","20","keyifsiz"
"-4.8","Az_Bulutlu","0","0","0.36","0.27","0.06","20","mutlu"
"-5.1","Az_Bulutlu","1","1","2.49","-0.27","1.34","20","mutlu"
"-10.6","Az_Bulutlu","1","0","0.3","-0.41","-0.72","21","keyifsiz"
"-7.9","Az_Bulutlu","0","0","2.93","0.4","3.12","20","mutlu"
"-5.7","Az_Bulutlu","1","0","0.46","1.79","-0.29","20","keyifli"
"-5","Az_Bulutlu","1","0","2.62","-0.95","4.8","20","mutlu"
"-4.6","Az_Bulutlu","1","0","-0.16","0","-2.88","20","üzgün"
"-3.8","Az_Bulutlu","1","0","-0.25","0.82","0.17","21","keyifli"
"-4.3","Az_Bulutlu","1","1","0.67","-3.8","2.47","20","keyifli"
"-4.7","Az_Bulutlu","1","0","1.71","5.53","3.32","20","mutlu"
"-4.5","Az_Bulutlu","1","0","4.08","0.84","0.24","20","mutlu"
"-4.6","Kar_Yağışlı","1","0","3.39","0.28","-4.87","24","keyifli"
"-5.2","Kar_Yağışlı","0","0","-2.33","-2.72","0.74","21","sinirli "
"-5.3","Kar_Yağışlı","1","0","-3.79","-0.27","-5.35","24","sinirli "
"-5.8","Kar_Yağışlı","1","1","-0.43","-1.73","4.16","20","keyifli"
"-5.7","Kar_Yağışlı","1","0","-2.1","0.54","-5.17","21","sinirli "
"-5.5","Kar_Yağışlı","0","0","-0.25","-1.06","-0.43","21","sinirli "
"-5.5","Kar_Yağışlı","1","0","0","2.03","2.34","24","mutlu"
"-5.3","Kar_Yağışlı","1","0","-0.33","-0.4","-1.76","21","sinirli "
"-4.9","Kar_Yağışlı","0","0","0.25","-0.54","-2.95","24","keyifsiz"
"-4","Kar_Yağışlı","1","0","-4.71","-1.84","-1.28","21","sinirli "
"-2.1","Kar_Yağışlı","1","0","-2.49","-1.17","-0.72","21","sinirli "
"0.6","Sisli","1","1","-0.69","0.26","5.49","20","mutlu"
"-0.3","Sisli","1","1","-2.61","-1.59","2.03","24","keyifsiz"
"-0.6","Kar_Yağışlı","1","0","6.55","1.75","1.9","20","mutlu"
"-0.3","Kar_Yağışlı","1","0","-1.69","2.07","-9.98","21","sinirli "
"0.1","Kar_Yağışlı","1","0","-9.93","-10.04","7.73","21","sinirli "
"-0.7","Az_Bulutlu","0","0","-1.08","-3","-7.51","20","sinirli "
"-1.3","Az_Bulutlu","1","0","-4.19","-1.07","9.98","21","keyifsiz"
"-1.6","Az_Bulutlu","0","0","0.34","-0.23","5.63","20","keyifli"
"-1.5","Az_Bulutlu","1","1","1.31","1.07","-0.06","20","mutlu"
"-0.2","Kar_Yağışlı","1","1","-1.69","-0.24","1.99","24","keyifsiz"
"-1.2","Az_Bulutlu","1","0","-1.34","-0.12","-3.48","21","sinirli "
"-2.1","Az_Bulutlu","0","0","0.74","0.12","0","20","mutlu"
"-1.1","Az_Bulutlu","0","0","2.3","1.43","-1.63","20","keyifsiz"
"-0.6","Az_Bulutlu","0","0","0.75","-0.59","-3.26","21","üzgün"
"0.9","Az_Bulutlu","1","1","-1.46","1.9","-8.62","20","sinirli "
"1.2","Az_Bulutlu","1","0","3.01","-2.43","10","20","keyifli"
"1.2","Az_Bulutlu","1","0","2.76","-1.26","4.8","20","keyifli"
"1.4","Az_Bulutlu","1","1","0.24","2.22","9.96","20","mutlu"
"1.2","Az_Bulutlu","1","0","0.57","-0.58","5.98","20","keyifli"
"1.6","Az_Bulutlu","1","1","0.16","-0.23","-2.72","20","keyifsiz"
"2.2","Kar_Yağışlı","0","0","-1.77","-1.93","-0.5","21","üzgün"
"1.7","Kar_Yağışlı","1","0","3.33","1.03","-1.7","24","keyifsiz"
"2.1","Az_Bulutlu","0","0","-1.23","-0.8","2.61","21","keyifli"
"1.5","Az_Bulutlu","1","1","0.16","2.3","1.34","20","mutlu"
"0.9","Az_Bulutlu","1","0","-0.08","0","-2.19","20","üzgün"
"0.3","Az_Bulutlu","1","1","-0.33","-0.57","1.84","20","keyifli"
"-0.2","Az_Bulutlu","0","0","0.41","-1.02","-1.99","21","sinirli "
"-0.9","Az_Bulutlu","0","0","0.75","2.55","1.58","20","mutlu"
"-1.5","Az_Bulutlu","0","0","0.42","0.35","9.94","20","mutlu"
"-2","Az_Bulutlu","1","0","-0.83","0.7","-7.46","21","sinirli "
"-1.9","Az_Bulutlu","0","0","-1.78","-2.29","3.6","21","sinirli "
"-2.1","Az_Bulutlu","1","0","-5.38","-3.98","-1.18","20","sinirli "
"-0.8","Az_Bulutlu","1","1","-1.47","-1.1","-2.64","21","sinirli "
"0.1","Az_Bulutlu","0","0","-1.07","1.91","-1.93","21","üzgün"
"-0.7","Az_Bulutlu","0","0","-0.23","-2.08","-3.04","21","sinirli "
"-1.1","Az_Bulutlu","1","1","-0.15","-0.87","-0.31","21","üzgün"
"-1.6","Az_Bulutlu","1","0","3.27","-0.86","6.8","21","keyifli"
"-2","Az_Bulutlu","1","1","1.26","-0.21","10","20","mutlu"
"-1.7","Az_Bulutlu","1","0","-0.94","-0.11","0.45","21","keyifsiz"
"-2.3","Az_Bulutlu","1","0","1.1","0","-1.9","21","keyifsiz"
"-4.4","Az_Bulutlu","0","0","-0.47","-0.11","-0.32","20","üzgün"
"-9.5","Az_Bulutlu","0","0","0.32","0.34","1.46","20","mutlu"
"-7","Az_Bulutlu","1","1","-0.38","-0.11","0.08","20","keyifsiz"
"-7.5","Az_Bulutlu","1","1","2.52","-0.11","-2.83","20","keyifsiz"
"-6.9","Az_Bulutlu","0","0","0.64","-0.45","-0.32","20","keyifsiz"
"-7.4","Az_Bulutlu","1","0","-0.73","-1.03","-1.36","20","sinirli "
"-8.8","Az_Bulutlu","1","1","0.74","1.39","-2.21","20","keyifli"
"-9.5","Az_Bulutlu","1","1","-0.49","-0.35","3.84","20","keyifli"
"-7.1","Az_Bulutlu","1","1","9.65","4.11","-9.94","20","keyifli"
"-6.5","Kar_Yağışlı","1","1","-4.44","-4.48","-3.93","24","sinirli "
"-6.8","Kar_Yağışlı","1","1","-2.21","-1","1.06","24","keyifsiz"
"-7.1","Kar_Yağışlı","0","0","1.75","0.56","-0.97","24","keyifli"
"-7.1","Kar_Yağışlı","1","0","1.35","-0.67","4.62","20","keyifli"
"-7","Kar_Yağışlı","0","0","0.77","0.78","1.71","20","mutlu"
"-9.6","Kar_Yağışlı","1","0","-1.18","-1","0","21","üzgün"
"-9.8","Kar_Yağışlı","1","1","1.45","0.44","1.04","20","mutlu"
"-10.1","Kar_Yağışlı","1","1","0.09","0.56","-1.7","24","keyifli"
"-9.7","Az_Bulutlu","1","0","2.01","2.76","-3.37","20","keyifli"
"-9.3","Az_Bulutlu","1","1","-2.63","-2.79","4.54","20","keyifsiz"
"-8.6","Kar_Yağışlı","1","1","2.43","-0.88","7.37","20","keyifli"
"-8.3","Kar_Yağışlı","1","0","-1.29","0.56","-3.21","24","üzgün"
"-8.4","Kar_Yağışlı","1","0","-1.1","-1.86","-4.34","21","sinirli "
"-8.2","Kar_Yağışlı","0","0","2.43","3.04","-2.09","20","keyifli"
"-8","Kar_Yağışlı","0","0","7.68","0.79","1.53","20","keyifli"
"-7.7","Kar_Yağışlı","1","0","9.99","2.44","3.51","20","mutlu"
"-7.8","Kar_Yağışlı","1","0","0.21","0.35","0.96","20","mutlu"
"-7.7","Kar_Yağışlı","1","0","-0.92","0.12","5.12","24","keyifli"
"-7.4","Kar_Yağışlı","1","1","2.73","0.35","-4.1","20","keyifli"
"-7.1","Az_Bulutlu","1","0","1.17","-1.73","3.7","21","keyifli"
"-7.1","Kar_Yağışlı","1","1","4.32","5.21","7.15","20","mutlu"
"-6.7","Kar_Yağışlı","1","0","-3.38","0.23","1.7","24","üzgün"
"-6.7","Kar_Yağışlı","1","0","-2.17","1.78","1.84","21","keyifsiz"
"-5.5","Az_Bulutlu","1","1","0.48","-0.45","-0.76","20","keyifsiz"
"-5.7","Az_Bulutlu","1","0","-1.59","0.56","3.06","21","keyifli"
"-4.9","Sisli","0","0","0.56","-2.41","-1","24","keyifsiz"
"-4.9","Sisli","1","1","0.28","0.11","-1.16","24","keyifli"
"-4.3","Sisli","1","0","0.56","1.66","-1.03","20","keyifli"
"-4","Sisli","1","0","0.76","-0.77","-0.86","24","üzgün"
"-3.9","Sisli","1","1","0.38","-4.11","0.57","20","sinirli "
"-3.6","Sisli","0","0","1.45","3.83","-0.29","24","keyifli"
"-4.3","Sisli","1","0","-0.29","6.64","0.05","21","mutlu"
"-5","Kar_Yağışlı","1","0","-0.76","1.42","-1.18","24","keyifsiz"
"-4.9","Kar_Yağışlı","1","0","-0.38","1.44","1.03","24","keyifli"
"-5","Kar_Yağışlı","1","1","0","3.73","-0.62","20","keyifli"
"-6.3","Kar_Yağışlı","1","0","2.13","0.75","-2.01","24","keyifsiz"
"-5.6","Kar_Yağışlı","1","0","-2.82","-2.09","-1.75","21","sinirli "
"-5.5","Kar_Yağışlı","0","0","-0.47","-0.49","0.61","21","sinirli "
"-5.2","Kar_Yağışlı","1","0","0.75","-0.12","-2.32","21","sinirli "
"-6","Kar_Yağışlı","1","0","-1.03","-0.12","7.63","21","keyifli"
"-6.9","Kar_Yağışlı","1","0","-1.38","-0.24","0.41","21","keyifsiz"
"-7.6","Kar_Yağışlı","1","0","-0.46","0.61","-0.69","21","keyifsiz"
"-7.7","Kar_Yağışlı","1","0","1.58","-0.24","0.53","24","keyifli"
"-7.2","Kar_Yağışlı","1","1","-1.52","0.36","-1.58","20","keyifsiz"
"-8","Kar_Yağışlı","1","0","1.08","-1.54","-0.77","21","keyifsiz"
"-11","Az_Bulutlu","1","1","-0.53","-1.14","3.33","20","keyifli"
"-10.2","Az_Bulutlu","1","1","1.72","1.03","1.61","20","mutlu"
"-11.6","Az_Bulutlu","1","1","0.45","-0.8","-0.91","20","keyifli"
"-12.6","Az_Bulutlu","0","0","-1.08","3.3","-3.02","21","keyifsiz"
"-11.2","Sisli","1","0","0","-1.85","0.44","21","keyifsiz"
"-11.8","Az_Bulutlu","0","0","-2.45","-0.8","2.55","21","keyifsiz"
"-6.8","Az_Bulutlu","1","0","5.19","9.85","-4.45","20","keyifli"
"-6.3","Kar_Yağışlı","1","1","-5.63","-9.3","-3.49","21","sinirli "
"-6.2","Kar_Yağışlı","1","0","-1.63","-2.36","-1.57","21","sinirli "
"-4.8","Kar_Yağışlı","0","0","2.99","-2.19","0.55","20","üzgün"
"-3.8","Kar_Yağışlı","1","1","-1.38","0","2.87","20","keyifli"
"-2.9","Kar_Yağışlı","1","0","-1.99","-3.34","3.21","21","keyifsiz"
"-3.3","Kar_Yağışlı","1","0","-4.49","-3.13","0.32","21","üzgün"
"-3.4","Az_Bulutlu","1","0","-1.36","7.42","-1.01","21","keyifli"
"-3.7","Kar_Yağışlı","0","0","-0.76","-0.23","0.51","24","keyifsiz"
"-3.8","Kar_Yağışlı","1","0","1.02","4.22","1.16","20","mutlu"
"-5.3","Az_Bulutlu","1","1","-0.5","1.75","1.33","20","mutlu"
"-3.7","Kar_Yağışlı","1","1","-0.17","-1.6","4.82","20","keyifsiz"
"-4.5","Kar_Yağışlı","1","0","1.27","3.44","0.53","20","mutlu"
"-7.1","Az_Bulutlu","1","0","2.12","-1.39","-2.6","21","keyifsiz"
"-8.1","Az_Bulutlu","1","0","-2.84","-1","1.91","21","keyifsiz"
"-8.4","Az_Bulutlu","1","1","-1.76","0.88","-0.08","20","keyifsiz"
"-6.6","Az_Bulutlu","1","0","-0.08","2.08","2.72","20","mutlu"
"-6.3","Az_Bulutlu","1","0","0.4","0.13","-2.39","20","keyifsiz"
"-6","Az_Bulutlu","1","1","0.16","-0.39","0.08","20","keyifli"
"-5.4","Az_Bulutlu","1","0","-1.2","-2.03","0.35","21","keyifsiz"
"-11.1","Sisli","0","0","2.84","0","4.2","24","mutlu"
"-10.5","Az_Bulutlu","1","0","9.99","2.79","0.93","20","mutlu"
"-8.7","Az_Bulutlu","1","1","0.81","-0.97","-1.57","20","keyifsiz"
"-7.2","Az_Bulutlu","0","0","2.21","-0.14","1.92","20","keyifli"
"-5.5","Az_Bulutlu","1","0","0.74","1.26","3.03","20","mutlu"
"-5.3","Az_Bulutlu","0","0","2.08","1.27","0","20","mutlu"
"-4.7","Az_Bulutlu","1","1","0.38","-1.26","0.08","20","keyifsiz"
"-4.2","Az_Bulutlu","1","1","-0.75","1.99","-0.35","20","keyifsiz"
"-3.9","Az_Bulutlu","1","0","-0.19","4.46","4.78","21","keyifli"
"-3.1","Az_Bulutlu","0","0","0.19","2.13","1.18","20","mutlu"
"-2.5","Az_Bulutlu","0","0","0","-1.22","-4.23","21","sinirli "
"-2.1","Az_Bulutlu","1","0","0.38","-0.3","-2.8","21","üzgün"
"-1.5","Az_Bulutlu","0","0","0.57","-0.6","-0.5","20","üzgün"
"-0.7","Az_Bulutlu","1","0","-0.28","2.63","-3.62","21","üzgün"
"-0.8","Az_Bulutlu","1","1","-1.5","-2.86","2.84","20","üzgün"
"0.1","Kar_Yağışlı","1","0","0.66","-0.89","0.65","24","üzgün"
"0.1","Az_Bulutlu","0","0","-0.28","0.15","0.65","20","keyifsiz"
"0.8","Kar_Yağışlı","1","0","-1.57","-0.45","3.5","21","keyifli"
"1","Az_Bulutlu","1","0","5.36","2.91","-0.67","21","keyifli"
"1.1","Az_Bulutlu","0","0","-0.96","-0.3","-0.42","20","sinirli "
"1.1","Az_Bulutlu","1","0","1.14","0.9","2.95","20","mutlu"
"1.4","Az_Bulutlu","1","0","3.54","1.84","2.74","20","mutlu"
"1.9","Az_Bulutlu","1","0","-1.93","0.77","-2.58","21","keyifsiz"
"2.6","Az_Bulutlu","1","1","-4.95","-2.99","1.35","21","üzgün"
"2.6","Az_Bulutlu","0","0","6.97","9.33","-2.53","20","mutlu"
"3.3","Az_Bulutlu","1","1","0.62","-0.32","-3.06","20","keyifsiz"
"3.3","Az_Bulutlu","0","0","1.46","0.65","-1.11","20","keyifli"
"2.9","Az_Bulutlu","1","0","0.73","2.51","2.26","21","mutlu"
"3.2","Az_Bulutlu","0","0","3.93","2.93","5.18","20","mutlu"
"3.1","Az_Bulutlu","1","0","2.69","2.29","2.8","20","mutlu"
"2.6","Az_Bulutlu","1","0","-0.78","0.18","4.92","21","keyifli"
"3","Az_Bulutlu","1","1","0.11","1.07","3.48","20","mutlu"
"1.9","Az_Bulutlu","1","0","-1.58","0.35","0","21","üzgün"
"0.8","Kar_Yağışlı","0","0","5.79","2.5","5.79","20","mutlu"
"-1.9","Az_Bulutlu","1","0","-3.38","-2.67","5.7","21","keyifsiz"
"-5.5","Az_Bulutlu","1","1","0.51","-3","-8.56","21","üzgün"
"-6.1","Az_Bulutlu","1","1","-1","-1.11","-9.99","20","sinirli "
"-6.2","Az_Bulutlu","0","0","-3.04","-4.09","-9.96","20","sinirli "
"-6.2","Az_Bulutlu","1","0","-9.96","-9.94","-5.15","20","sinirli "
"-6","Az_Bulutlu","0","0","7.78","4.52","-5.7","20","keyifsiz"
"-5.6","Az_Bulutlu","1","0","-11.76","-6.86","-0.64","21","sinirli "
"-12.4","Az_Bulutlu","1","1","2.69","-0.56","-1.25","20","keyifli"
"-11.7","Az_Bulutlu","1","0","-0.67","3.03","6.12","21","mutlu"
"-10.8","Az_Bulutlu","0","0","1.15","0.87","4.46","20","mutlu"
"-9.6","Az_Bulutlu","1","0","3.64","13.01","0.69","20","mutlu"
"-8.2","Az_Bulutlu","1","0","2","2.71","-2.68","21","keyifli"
"-6.3","Az_Bulutlu","0","0","-3.11","-1.34","-0.28","21","üzgün"
"-2.4","Az_Bulutlu","1","0","1.53","-0.66","1.28","20","keyifli"
"-1.8","Az_Bulutlu","1","1","3.97","5.06","-1.2","20","keyifli"
"-1.6","Az_Bulutlu","1","0","1.17","-0.35","-0.47","21","keyifsiz"
"-2.1","Az_Bulutlu","1","1","-1.08","-0.86","-1.1","20","üzgün"
"-2.5","Az_Bulutlu","0","0","-1.78","1.75","2.42","20","keyifli"
"-3.1","Az_Bulutlu","1","0","-3.03","2.14","-1.98","21","keyifsiz"
"-3.6","Az_Bulutlu","1","1","2.11","0.36","-1.44","20","keyifli"
"-5.4","Az_Bulutlu","1","0","3.06","1.08","-0.61","21","keyifli"
"-3.5","Az_Bulutlu","1","0","5.56","2.94","0.36","20","mutlu"
"-2.5","Az_Bulutlu","0","0","-0.37","-0.73","3.19","20","keyifli"
"-0.1","Az_Bulutlu","0","0","0.07","3.89","0.15","20","mutlu"
"1.4","Az_Bulutlu","1","0","-2.02","0.22","0.78","21","keyifsiz"
"1.4","Az_Bulutlu","1","1","1.68","0.66","0.63","20","mutlu"
"1.3","Az_Bulutlu","1","1","-1.16","-0.87","0.79","20","keyifsiz"
"1.1","Az_Bulutlu","1","1","1.84","0.88","-0.23","20","keyifli"
"1.3","Az_Bulutlu","0","0","-1.24","-0.87","-2.48","21","sinirli "
"1","Az_Bulutlu","1","0","2.23","0.44","-1.06","21","keyifli"
"0.9","Az_Bulutlu","1","0","-1.47","-2.76","0.54","21","keyifsiz"
"0.4","Az_Bulutlu","0","0","-0.8","-0.21","-0.69","21","sinirli "
"-0.2","Kar_Yağışlı","1","1","-1.2","-0.21","-1.02","21","sinirli "
"-0.4","Az_Bulutlu","1","0","-0.7","0.85","0.6","21","keyifli"
"-0.7","Kar_Yağışlı","1","0","3.87","0.86","1.33","20","mutlu"
"-0.9","Sisli","1","1","0.59","0.86","1.29","20","mutlu"
"-1.4","Sisli","1","0","-0.58","-1.7","0.38","21","üzgün"
"-7.4","Kar_Yağışlı","1","0","2.62","1.07","-0.45","24","keyifli"
"-8.6","Kar_Yağışlı","1","0","2.69","1.53","-2.14","24","keyifsiz"
"-9.5","Kar_Yağışlı","1","1","1.48","-0.65","-3.43","20","keyifsiz"
"-10.8","Kar_Yağışlı","1","0","1.11","-0.22","2.04","24","keyifli"
"-11.5","Kar_Yağışlı","1","1","6.03","1.76","0.97","20","mutlu"
"-12.2","Kar_Yağışlı","1","0","0.67","-1.52","1.57","24","keyifli"
"-13","Kar_Yağışlı","1","1","0.25","0.22","3.15","20","mutlu"
"-13.7","Kar_Yağışlı","1","1","2.25","2.67","0.54","20","mutlu"
"-13.7","Az_Bulutlu","1","0","-0.6","0.22","1.98","21","keyifli"
"-13.4","Kar_Yağışlı","0","0","0.09","0.22","-1.01","24","keyifli"
"-13.1","Kar_Yağışlı","1","0","-1.77","-1.97","-1.09","24","sinirli "
"-12.8","Kar_Yağışlı","0","0","-0.5","-0.22","1.03","24","keyifsiz"
"-11.3","Az_Bulutlu","0","0","-0.76","0","1.15","21","keyifli"
"-10.8","Az_Bulutlu","1","0","2.85","2.78","0.19","20","mutlu"
"-10.4","Az_Bulutlu","1","1","0.87","0.47","-2.27","20","keyifli"
"-10.5","Az_Bulutlu","1","0","-0.61","-1.6","1.88","21","keyifsiz"
"-16.8","Az_Bulutlu","1","1","0.93","-0.43","-0.82","20","keyifsiz"
"-16.6","Az_Bulutlu","0","0","1.02","0.65","1","19","mutlu"
"-16.4","Kar_Yağışlı","1","0","-0.76","-1.69","0.59","21","keyifsiz"
"-16.7","Kar_Yağışlı","1","1","0.51","-0.63","-0.33","24","keyifsiz"
"-16.7","Kar_Yağışlı","0","0","-4.85","-3.46","-1.58","24","sinirli "
"-16.9","Az_Bulutlu","1","0","2.31","2.71","1.35","19","mutlu"
"-16.7","Kar_Yağışlı","0","0","4.4","5.04","0.08","19","mutlu"
"-16.1","Az_Bulutlu","0","0","0.6","0","1.11","19","mutlu"
"-14.8","Az_Bulutlu","1","0","2.37","1.99","-0.85","21","keyifli"
"-13.9","Az_Bulutlu","1","1","0.09","-1.09","1.11","19","keyifli"
"-13.2","Az_Bulutlu","0","0","-0.78","-0.65","-3.17","21","sinirli "
"-12.5","Az_Bulutlu","1","0","-2.63","-2.33","-1.41","21","sinirli "
"-12","Az_Bulutlu","0","0","-0.25","-1.05","-2.34","21","sinirli "
"-12","Az_Bulutlu","1","1","-0.34","-2.65","2.56","21","üzgün"
"-11.3","Az_Bulutlu","0","0","-1.56","-2.02","2.1","21","üzgün"
"-10.8","Az_Bulutlu","1","0","-0.16","1.65","0.84","21","keyifli"
"-10.6","Az_Bulutlu","0","0","3.04","3.18","0.95","20","mutlu"
"-10.3","Az_Bulutlu","1","0","1.63","0.64","-1.19","21","keyifli"
"-10","Kar_Yağışlı","0","0","-2.02","0.43","-0.99","24","keyifsiz"
"-9.4","Az_Bulutlu","1","0","3.48","-0.43","-0.58","21","keyifsiz"
"-8.8","Az_Bulutlu","1","1","-0.17","2.63","1.08","19","keyifli"
"-8.8","Az_Bulutlu","1","0","0","-0.65","1.29","21","keyifli"
"-8.4","Az_Bulutlu","0","0","1.86","3.15","1.19","19","mutlu"
"-8","Az_Bulutlu","1","0","-0.35","2.53","-1.86","21","keyifsiz"
"-7.9","Az_Bulutlu","1","0","-1.73","-1.59","1.9","21","keyifsiz"
"-7.9","Az_Bulutlu","0","0","-0.26","1.15","-1.62","21","keyifsiz"
"-8","Az_Bulutlu","1","0","3.4","1.4","3.16","19","mutlu"
"-7.5","Az_Bulutlu","0","0","-0.44","0.7","-2.06","21","keyifsiz"
"-6.5","Az_Bulutlu","0","0","-1.07","2.33","-1.93","21","keyifsiz"
"-4.3","Az_Bulutlu","1","0","-3.06","-0.96","1.58","21","keyifsiz"
"-3.4","Az_Bulutlu","1","0","-2.97","-0.95","0.09","21","keyifsiz"
"-3.4","Az_Bulutlu","0","0","0.75","0","0.43","19","mutlu"
"-7.2","Az_Bulutlu","1","0","1.54","-1.74","-3.16","21","üzgün"
"-7.5","Kar_Yağışlı","1","0","-0.97","-3.35","-1.13","24","sinirli "
"-9","Az_Bulutlu","1","0","-0.24","3.25","-0.8","21","keyifsiz"
"-10.8","Az_Bulutlu","0","0","-2.12","-1.91","-0.18","21","sinirli "
"-11.9","Az_Bulutlu","1","0","0.08","5.23","-1.27","21","keyifli"
"-12.9","Az_Bulutlu","1","0","0.63","3.61","-0.16","21","keyifli"
"-14.2","Az_Bulutlu","0","0","-1.54","-0.68","-0.96","21","sinirli "
"-13.7","Az_Bulutlu","1","0","-0.69","-0.45","1.45","21","keyifsiz"
"-13.6","Az_Bulutlu","1","1","2.35","1.6","2.97","20","mutlu"
"-11.6","Az_Bulutlu","0","0","2.66","5.54","1.43","20","mutlu"
"-8.8","Az_Bulutlu","1","0","3.85","1.97","-2.45","19","keyifli"
"-3.2","Az_Bulutlu","1","0","-0.81","0.96","0.08","19","keyifli"
"-2.1","Az_Bulutlu","1","0","0.9","0.24","0.08","19","mutlu"
"1.3","Az_Bulutlu","0","0","-1.93","-2.18","0.49","21","keyifsiz"
"1.8","Az_Bulutlu","1","0","2.13","0","-2.08","21","keyifli"
"-0.6","Az_Bulutlu","1","0","1.82","0","0.82","21","mutlu"
"-0.5","Az_Bulutlu","0","0","1.52","1.62","-0.33","19","keyifli"
"-1.2","Az_Bulutlu","1","0","-2.35","-1.59","1.09","21","keyifsiz"
"-1.9","Az_Bulutlu","1","1","-0.93","-0.23","-0.27","19","sinirli "
"-1.8","Az_Bulutlu","1","0","0.47","0.46","2.12","19","mutlu"
"-1.2","Az_Bulutlu","1","0","-1.16","0","-1.89","21","üzgün"
"-1.6","Az_Bulutlu","0","0","0.08","0.46","1.84","19","mutlu"
"-0.7","Kar_Yağışlı","1","1","-1.89","-2.46","2.25","24","keyifsiz"
"-1.3","Kar_Yağışlı","1","1","1.54","1.82","1.41","20","mutlu"
"-1","Kar_Yağışlı","0","0","2.68","2.33","2.43","20","mutlu"
"-0.3","Kar_Yağışlı","0","0","0.24","-1.38","-2.2","24","keyifsiz"
"0.1","Kar_Yağışlı","1","0","-2.32","-3.76","1.17","21","keyifsiz"
"0.6","Kar_Yağışlı","1","1","0.23","0.89","-1.75","19","keyifli"
"1","Kar_Yağışlı","0","0","-2.56","-3.24","0.26","24","keyifsiz"
"2","Kar_Yağışlı","1","0","1.77","1.76","5.15","19","mutlu"
"2.1","Kar_Yağışlı","0","0","4.74","3.17","-1.37","19","keyifli"
"1.7","Kar_Yağışlı","1","0","-0.4","-0.68","0.38","24","keyifsiz"
"1.5","Kar_Yağışlı","1","1","0.32","1.37","3.1","20","mutlu"
"1.9","Az_Bulutlu","1","0","2.64","3.79","-0.37","21","keyifli"
"1.3","Kar_Yağışlı","0","0","-3.84","-5.84","-1.07","24","sinirli "
"1.2","Sisli","1","0","-3.14","-1.15","1.48","24","keyifsiz"
"1.4","Sisli","1","0","0.58","-5.66","-1.17","24","üzgün"
"0.8","Sisli","1","0","-2.04","6.74","-2.4","24","keyifsiz"
"1.1","Az_Bulutlu","0","0","1.4","-0.23","1.94","19","keyifli"
"0.7","Az_Bulutlu","1","0","-3.2","-2.49","0.9","21","keyifsiz"
"0.7","Az_Bulutlu","1","0","1.13","2.79","-1.37","21","keyifli"
"0.9","Az_Bulutlu","1","0","1.73","-4.44","0","21","keyifsiz"
"0.7","Az_Bulutlu","0","0","-2.49","-1.53","-2.38","21","sinirli "
"1.3","Az_Bulutlu","1","1","-3.86","-3.59","-1.3","21","sinirli "
"1.7","Az_Bulutlu","1","0","-4.14","-3.85","-1.67","21","sinirli "
"1.2","Az_Bulutlu","1","1","-2.03","1.23","-0.36","21","keyifsiz"
"2.7","Az_Bulutlu","0","0","-1.21","0.82","0.85","21","keyifli"
